X, U0, U1,U2
-0.993750 0.013066 0.002178 -0.000000
-0.981250 0.039193 0.002177 -0.000000
-0.968750 0.065302 0.002175 -0.000000
-0.956250 0.091381 0.002172 -0.000000
-0.943750 0.117419 0.002168 -0.000000
-0.931250 0.143402 0.002163 -0.000000
-0.918750 0.169320 0.002157 -0.000000
-0.906250 0.195160 0.002150 -0.000000
-0.893750 0.220909 0.002142 -0.000000
-0.881250 0.246555 0.002133 -0.000000
-0.868750 0.272086 0.002122 -0.000000
-0.856250 0.297488 0.002111 -0.000000
-0.843750 0.322749 0.002099 -0.000000
-0.831250 0.347855 0.002085 -0.000000
-0.818750 0.372792 0.002071 -0.000001
-0.806250 0.397547 0.002055 -0.000001
-0.793750 0.422105 0.002038 -0.000001
-0.781250 0.446452 0.002020 -0.000001
-0.768750 0.470574 0.002000 -0.000001
-0.756250 0.494454 0.001980 -0.000001
-0.743750 0.518076 0.001957 -0.000001
-0.731250 0.541426 0.001934 -0.000001
-0.718750 0.564485 0.001909 -0.000001
-0.706250 0.587237 0.001883 -0.000001
-0.693750 0.609664 0.001855 -0.000001
-0.681250 0.631747 0.001825 -0.000001
-0.668750 0.653467 0.001794 -0.000001
-0.656250 0.674803 0.001762 -0.000001
-0.643750 0.695736 0.001727 -0.000001
-0.631250 0.716243 0.001691 -0.000001
-0.618750 0.736301 0.001652 -0.000001
-0.606250 0.755888 0.001612 -0.000001
-0.593750 0.774978 0.001570 -0.000001
-0.581250 0.793545 0.001525 -0.000002
-0.568750 0.811563 0.001478 -0.000002
-0.556250 0.829002 0.001428 -0.000002
-0.543750 0.845834 0.001376 -0.000002
-0.531250 0.862025 0.001322 -0.000002
-0.518750 0.877543 0.001264 -0.000002
-0.506250 0.892353 0.001204 -0.000002
-0.493750 0.906417 0.001140 -0.000002
-0.481250 0.919696 0.001073 -0.000002
-0.468750 0.932149 0.001002 -0.000002
-0.456250 0.943731 0.000928 -0.000003
-0.443750 0.954394 0.000849 -0.000003
-0.431250 0.964090 0.000766 -0.000003
-0.418750 0.972764 0.000679 -0.000003
-0.406250 0.980359 0.000587 -0.000003
-0.393750 0.986815 0.000489 -0.000003
-0.381250 0.992066 0.000386 -0.000004
-0.368750 0.996043 0.000276 -0.000004
-0.356250 0.998670 0.000161 -0.000004
-0.343750 0.999868 0.000038 -0.000004
-0.331250 0.999550 -0.000092 -0.000005
-0.318750 0.997623 -0.000230 -0.000005
-0.306250 0.993988 -0.000377 -0.000005
-0.293750 0.988538 -0.000533 -0.000005
-0.281250 0.981156 -0.000699 -0.000006
-0.268750 0.971718 -0.000875 -0.000006
-0.256250 0.960092 -0.001064 -0.000007
-0.243750 0.946132 -0.001264 -0.000007
-0.231250 0.929686 -0.001478 -0.000007
-0.218750 0.910591 -0.001706 -0.000008
-0.206250 0.888671 -0.001949 -0.000008
-0.193750 0.863743 -0.002207 -0.000009
-0.181250 0.835616 -0.002482 -0.000010
