X, U0, U1,U2
-0.950000 0.104470 0.017376 -0.000013
-0.850000 0.310283 0.016884 -0.000033
-0.750000 0.506375 0.015782 -0.000052
-0.650000 0.685183 0.013959 -0.000079
-0.550000 0.836800 0.011206 -0.000120
-0.450000 0.947376 0.007066 -0.000183
-0.350000 0.995662 0.000702 -0.000286
-0.250000 0.943514 -0.009451 -0.000137
-0.150000 0.740501 -0.027175 -0.000594
-0.050000 0.296036 -0.047131 -0.000495
0.050000 -0.296036 -0.047131 0.000495
0.150000 -0.740501 -0.027175 0.000594
0.250000 -0.943514 -0.009451 0.000137
0.350000 -0.995662 0.000702 0.000286
0.450000 -0.947376 0.007066 0.000183
0.550000 -0.836800 0.011206 0.000120
0.650000 -0.685183 0.013959 0.000079
0.750000 -0.506375 0.015782 0.000052
0.850000 -0.310283 0.016884 0.000033
0.950000 -0.104470 0.017376 0.000013
